CpG_Site,t_stat,p_value
cg13876135,6.294103036103994,8.325187165501285e-07
cg25621920,-5.701511700084313,4.0980654772300285e-06
cg06035437,-5.681378211145965,4.327982122400322e-06
cg15978039,5.360958060605096,1.0346472669937084e-05
cg09197891,-5.298999239748776,1.2251776935992387e-05
cg14383658,5.281124388510049,1.2864309007229595e-05
cg04195425,-5.271955598957816,1.3190339580076724e-05
cg13218710,5.152246928433826,1.8291706230450132e-05
cg22814622,-5.117491828527256,2.011429004224645e-05
cg03584544,5.10292467758394,2.093132706794425e-05
cg27372994,5.094654284066441,2.1409906677205263e-05
cg17167076,-5.036365674141459,2.510848118345662e-05
cg23609375,5.027409490996725,2.5730916384954162e-05
cg15943038,-5.025991787396105,2.583084984743282e-05
cg18684641,-5.002163752317895,2.7569817248792955e-05
cg12129080,-4.950598750661174,3.174453363170389e-05
cg06168319,-4.924387463664548,3.4103248779720825e-05
cg13159060,4.892951661711896,3.716426019414294e-05
cg04637454,4.88131454359515,3.836576303612169e-05
cg14298020,-4.879007140917831,3.860856721789602e-05
cg02126277,-4.862755530863923,4.036273139676565e-05
cg00935351,-4.861562379897518,4.0494611111472965e-05
cg08512167,4.861123505847144,4.0543228315592934e-05
cg26814712,4.826325571152296,4.45894945410336e-05
cg26920327,4.809443406481512,4.6695354204128565e-05
cg26677406,-4.808998932751402,4.675211823810525e-05
cg01678292,-4.791041453156264,4.910399521766216e-05
cg05280133,4.754714163017471,5.4228768453284326e-05
cg04615460,4.745489247031106,5.56129540134776e-05
cg00453111,4.732301008711942,5.7653226271125844e-05
cg09889228,-4.717633457253201,6.0010101627819695e-05
cg16998327,-4.71146038776897,6.103051679474877e-05
cg11896550,4.7024456331191695,6.255180659695239e-05
cg02721693,-4.697427233597105,6.341500066472956e-05
cg26597982,-4.689230928825363,6.485040588818106e-05
cg13823257,-4.687163775098461,6.521750548030733e-05
cg05466385,-4.662378511470127,6.978359624731516e-05
cg16524960,4.662032294750507,6.984958276577305e-05
cg03728296,4.653022164931586,7.158887132158892e-05
cg01236299,-4.650014609731128,7.217898704320422e-05
cg14029372,-4.646066135917197,7.296108012200592e-05
cg04180113,-4.6449583419525835,7.318201776645277e-05
cg27209578,4.639626224474348,7.425480497558076e-05
cg04450332,4.637503250987616,7.468627772308903e-05
cg09752703,4.629708222295496,7.629205125966204e-05
cg01686617,-4.619972154917325,7.834601940570417e-05
cg09795137,-4.612650475534064,7.992680434292884e-05
cg22117723,-4.603345066910161,8.198176219876476e-05
cg02132667,-4.596931037614236,8.342872111113481e-05
cg01170201,-4.5954387612325975,8.37689944438939e-05
cg04569615,-4.588086230820904,8.54658041321193e-05
